played_on,competition,competition_edition,round_name,team_a,team_b,winner_team,sequence_number,team_name,player_name,goalkeeper_name,outcome,source_provider,source_url,source_row_key,retrieved_at_utc
2024-01-28,Africa Cup of Nations,2023,Round of 16,Egypt,Congo DR,Congo DR,9,Egypt,Mohamed Hany,,scored,espn,https://www.espn.com/soccer/match/_/gameId/697524,espn:697524:42308668,2026-06-30T12:00:00+00:00
2024-01-28,Africa Cup of Nations,2023,Round of 16,Egypt,Congo DR,Congo DR,10,Congo DR,Aaron Tshibola,,scored,espn,https://www.espn.com/soccer/match/_/gameId/697524,espn:697524:42308671,2026-06-30T12:00:00+00:00
2024-01-28,Africa Cup of Nations,2023,Round of 16,Egypt,Congo DR,Congo DR,11,Egypt,Ahmed Hegazi,,scored,espn,https://www.espn.com/soccer/match/_/gameId/697524,espn:697524:42308672,2026-06-30T12:00:00+00:00
2024-01-28,Africa Cup of Nations,2023,Round of 16,Egypt,Congo DR,Congo DR,12,Congo DR,Gédéon Kalulu,,scored,espn,https://www.espn.com/soccer/match/_/gameId/697524,espn:697524:42308675,2026-06-30T12:00:00+00:00
2024-01-28,Africa Cup of Nations,2023,Round of 16,Egypt,Congo DR,Congo DR,13,Egypt,Mostafa Fathi,,scored,espn,https://www.espn.com/soccer/match/_/gameId/697524,espn:697524:42308676,2026-06-30T12:00:00+00:00
2024-01-28,Africa Cup of Nations,2023,Round of 16,Egypt,Congo DR,Congo DR,14,Congo DR,Chancel Mbemba,,scored,espn,https://www.espn.com/soccer/match/_/gameId/697524,espn:697524:42308678,2026-06-30T12:00:00+00:00
2024-01-28,Africa Cup of Nations,2023,Round of 16,Egypt,Congo DR,Congo DR,15,Egypt,Mahmoud Hamada,,scored,espn,https://www.espn.com/soccer/match/_/gameId/697524,espn:697524:42308684,2026-06-30T12:00:00+00:00
2024-01-28,Africa Cup of Nations,2023,Round of 16,Egypt,Congo DR,Congo DR,16,Congo DR,Henock Inonga Baka,,scored,espn,https://www.espn.com/soccer/match/_/gameId/697524,espn:697524:42308688,2026-06-30T12:00:00+00:00
2024-01-28,Africa Cup of Nations,2023,Round of 16,Egypt,Congo DR,Congo DR,17,Egypt,Gabaski,,missed,espn,https://www.espn.com/soccer/match/_/gameId/697524,espn:697524:42308694,2026-06-30T12:00:00+00:00
2024-01-28,Africa Cup of Nations,2023,Round of 16,Egypt,Congo DR,Congo DR,18,Congo DR,Lionel Mpasi,,scored,espn,https://www.espn.com/soccer/match/_/gameId/697524,espn:697524:42308695,2026-06-30T12:00:00+00:00
2024-01-29,Africa Cup of Nations,2023,Round of 16,Senegal,Cote d'Ivoire,Cote d'Ivoire,1,Senegal,Kalidou Koulibaly,,scored,espn,https://www.espn.com/soccer/match/_/gameId/697526,espn:697526:42313333,2026-06-30T12:00:00+00:00
2024-01-29,Africa Cup of Nations,2023,Round of 16,Senegal,Cote d'Ivoire,Cote d'Ivoire,2,Cote d'Ivoire,Nicolas Pépé,,scored,espn,https://www.espn.com/soccer/match/_/gameId/697526,espn:697526:42313334,2026-06-30T12:00:00+00:00
2024-01-29,Africa Cup of Nations,2023,Round of 16,Senegal,Cote d'Ivoire,Cote d'Ivoire,3,Senegal,Pape Matar Sarr,,scored,espn,https://www.espn.com/soccer/match/_/gameId/697526,espn:697526:42313335,2026-06-30T12:00:00+00:00
2024-01-29,Africa Cup of Nations,2023,Round of 16,Senegal,Cote d'Ivoire,Cote d'Ivoire,4,Cote d'Ivoire,Christian Kouamé,,scored,espn,https://www.espn.com/soccer/match/_/gameId/697526,espn:697526:42313336,2026-06-30T12:00:00+00:00
2024-01-29,Africa Cup of Nations,2023,Round of 16,Senegal,Cote d'Ivoire,Cote d'Ivoire,5,Senegal,Moussa Niakhaté,,missed,espn,https://www.espn.com/soccer/match/_/gameId/697526,espn:697526:42313337,2026-06-30T12:00:00+00:00
2024-01-29,Africa Cup of Nations,2023,Round of 16,Senegal,Cote d'Ivoire,Cote d'Ivoire,6,Cote d'Ivoire,Sébastien Haller,,scored,espn,https://www.espn.com/soccer/match/_/gameId/697526,espn:697526:42313338,2026-06-30T12:00:00+00:00
2024-01-29,Africa Cup of Nations,2023,Round of 16,Senegal,Cote d'Ivoire,Cote d'Ivoire,7,Senegal,Bamba Dieng,,scored,espn,https://www.espn.com/soccer/match/_/gameId/697526,espn:697526:42313340,2026-06-30T12:00:00+00:00
2024-01-29,Africa Cup of Nations,2023,Round of 16,Senegal,Cote d'Ivoire,Cote d'Ivoire,8,Cote d'Ivoire,Sèrge Aurier,,scored,espn,https://www.espn.com/soccer/match/_/gameId/697526,espn:697526:42313341,2026-06-30T12:00:00+00:00
2024-01-29,Africa Cup of Nations,2023,Round of 16,Senegal,Cote d'Ivoire,Cote d'Ivoire,9,Senegal,Sadio Mané,,scored,espn,https://www.espn.com/soccer/match/_/gameId/697526,espn:697526:42313344,2026-06-30T12:00:00+00:00
2024-01-29,Africa Cup of Nations,2023,Round of 16,Senegal,Cote d'Ivoire,Cote d'Ivoire,10,Cote d'Ivoire,Franck Kessié,,scored,espn,https://www.espn.com/soccer/match/_/gameId/697526,espn:697526:42313345,2026-06-30T12:00:00+00:00
2024-02-03,Africa Cup of Nations,2023,Quarter-final,Cape Verde,South Africa,South Africa,1,Cape Verde,Bebé,,missed,espn,https://www.espn.com/soccer/match/_/gameId/698137,espn:698137:42350620,2026-06-30T12:00:00+00:00
2024-02-03,Africa Cup of Nations,2023,Quarter-final,Cape Verde,South Africa,South Africa,2,South Africa,Teboho Mokoena,,scored,espn,https://www.espn.com/soccer/match/_/gameId/698137,espn:698137:42350625,2026-06-30T12:00:00+00:00
2024-02-03,Africa Cup of Nations,2023,Quarter-final,Cape Verde,South Africa,South Africa,3,Cape Verde,Willy Semedo,,missed,espn,https://www.espn.com/soccer/match/_/gameId/698137,espn:698137:42350634,2026-06-30T12:00:00+00:00
2024-02-03,Africa Cup of Nations,2023,Quarter-final,Cape Verde,South Africa,South Africa,4,South Africa,Zakhele Lepasa,,missed,espn,https://www.espn.com/soccer/match/_/gameId/698137,espn:698137:42350645,2026-06-30T12:00:00+00:00
2024-02-03,Africa Cup of Nations,2023,Quarter-final,Cape Verde,South Africa,South Africa,5,Cape Verde,Laros Duarte,,missed,espn,https://www.espn.com/soccer/match/_/gameId/698137,espn:698137:42350647,2026-06-30T12:00:00+00:00
2024-02-03,Africa Cup of Nations,2023,Quarter-final,Cape Verde,South Africa,South Africa,6,South Africa,Aubrey Modiba,,missed,espn,https://www.espn.com/soccer/match/_/gameId/698137,espn:698137:42350656,2026-06-30T12:00:00+00:00
2024-02-03,Africa Cup of Nations,2023,Quarter-final,Cape Verde,South Africa,South Africa,7,Cape Verde,Bryan Teixeira,,scored,espn,https://www.espn.com/soccer/match/_/gameId/698137,espn:698137:42350662,2026-06-30T12:00:00+00:00
2024-02-03,Africa Cup of Nations,2023,Quarter-final,Cape Verde,South Africa,South Africa,8,South Africa,Mothobi Mvala,,scored,espn,https://www.espn.com/soccer/match/_/gameId/698137,espn:698137:42350671,2026-06-30T12:00:00+00:00
2024-02-03,Africa Cup of Nations,2023,Quarter-final,Cape Verde,South Africa,South Africa,9,Cape Verde,Patrick Andrade,,missed,espn,https://www.espn.com/soccer/match/_/gameId/698137,espn:698137:42350676,2026-06-30T12:00:00+00:00
2024-02-10,Africa Cup of Nations,2023,Third-place match,South Africa,Congo DR,South Africa,1,South Africa,Teboho Mokoena,,missed,espn,https://www.espn.com/soccer/match/_/gameId/698615,espn:698615:42401449,2026-06-30T12:00:00+00:00
2024-02-10,Africa Cup of Nations,2023,Third-place match,South Africa,Congo DR,South Africa,2,Congo DR,Samuel Moutoussamy,,scored,espn,https://www.espn.com/soccer/match/_/gameId/698615,espn:698615:42401450,2026-06-30T12:00:00+00:00
2024-02-10,Africa Cup of Nations,2023,Third-place match,South Africa,Congo DR,South Africa,3,South Africa,Nkosinathi Sibisi,,scored,espn,https://www.espn.com/soccer/match/_/gameId/698615,espn:698615:42401480,2026-06-30T12:00:00+00:00
2024-02-10,Africa Cup of Nations,2023,Third-place match,South Africa,Congo DR,South Africa,4,Congo DR,Nuke Mfulu,,scored,espn,https://www.espn.com/soccer/match/_/gameId/698615,espn:698615:42401481,2026-06-30T12:00:00+00:00
